fecha,local_id,local_nombre,comuna_nombre,localidad_nombre,local_direccion,funcionamiento_hora_apertura,funcionamiento_hora_cierre,local_telefono,local_lat,local_lng,funcionamiento_dia,fk_region,fk_comuna,fk_localidad
14-08-24,1,CRUZ VERDE ,QUILLOTA,QUILLOTA,"OHIGGINS 195, LOCAL 1",08:30:00,18:30:00,+56332269467,-32.8793428949969,-71.2467871500868,miercoles,6,69,32
14-08-24,3,CRUZ VERDE,LIMACHE,LIMACHE,URMENETA 99,08:30:00,18:30:00,+56332415940,-32.9849921792696,-71.2757177058683,miercoles,6,59,17
14-08-24,4,CRUZ VERDE,LIMACHE,LIMACHE,REPUBLICA 281,08:30:00,18:30:00,+56332418343,-33.0025007197382,-71.2654977848501,miercoles,6,59,17
14-08-24,5,AHUMADA,LA CALERA,LA CALERA,J J PEREZ 199,09:00:00,18:00:00,+563326316573,-32.7882065329844,-71.189446195146,miercoles,6,56,12
14-08-24,8,AHUMADA,LA CALERA,LA CALERA,PROLONGACION JJ. PEREZ 12010,09:00:00,19:00:00,+56026313722,-32.7908926027982,-71.1920957384256,miercoles,6,56,12
14-08-24,9,AHUMADA,QUILLOTA,QUILLOTA,AV. 21 DE MAYO 311,08:30:00,19:00:00,+5633314997,-32.8743896181991,-71.2419067293266,miercoles,6,69,32
14-08-24,10,AHUMADA,QUILLOTA,QUILLOTA,O`HIGGINS 114-116,09:00:00,19:00:00,+5633232740626,-32.8785857529787,-71.2467680389193,miercoles,6,69,32
14-08-24,11,SALCOBRAND,LA CALERA,LA CALERA,J.J. PEREZ 205,09:00:00,20:00:00,+56332225450,-32.7880523605412,-71.1894957968335,miercoles,6,56,12
14-08-24,13,SALCOBRAND,QUILLOTA,QUILLOTA,CHACABUCO 299,09:00:00,19:00:00,+56332269530,-32.8783291577425,-71.2464943929409,miercoles,6,69,32
14-08-24,14,KNOP,QUILLOTA,QUILLOTA,CHACABUCO 225,09:00:00,19:00:00,+56332315136,-32.8781586740176,-71.2459450658586,miercoles,6,69,32
14-08-24,15,KNOP,LA CALERA,LA CALERA,J.J. PEREZ 247,10:00:00,21:00:00,+56332229081,-32.7876998783928,-71.1895405374846,miercoles,6,56,12
